Price,House Type,Area in sq ft,No. of Bedrooms,Location,Post Code Category
780000,New development,798,2,27 Carlton Drive,CENTRAL LONDON
2225000,New development,2899,4,Chiswick,WEST LONDON
550000,New development,581,1,Chiswick,WEST LONDON
3150000,House,2894,5,Barnes,CENTRAL LONDON
625000,Flat / Apartment,613,2,Prince of Wales Drive,CENTRAL LONDON
699950,Flat / Apartment,1334,2, Wimbledon,SOUTH WEST LONDON
9950000,Flat / Apartment,2832,3,Belgravia,CENTRAL LONDON
999950,Flat / Apartment,840,2,Highbury,NORTH LONDON
550000,Flat / Apartment,399,1,Islington,NORTH LONDON
2600000,House,3318,5,East Finchley,NORTH LONDON
2150000,House,2087,5,Fulham,CENTRAL LONDON
1800000,House,2001,5,East Sheen,CENTRAL LONDON
1395000,House,2390,5,Wandsworth,CENTRAL LONDON
1100000,House,1370,3, Fulham,CENTRAL LONDON
1200000,House,1743,4,Wandsworth,CENTRAL LONDON
2125000,House,2591,5,Wandsworth,CENTRAL LONDON
1425000,New development,1063,2,82-88 Fulham High Street,CENTRAL LONDON
2650000,New development,1727,2, Belsize Park,NORTH WEST LONDON
775000,New development,870,2,65 Maygrove Road,NORTH WEST LONDON
2100000,Flat / Apartment,1527,3,Coleridge Gardens,CENTRAL LONDON
1750000,House,2006,5,Battersea,CENTRAL LONDON
700000,Flat / Apartment,807,2,Battersea,CENTRAL LONDON
2250000,Flat / Apartment,1669,3, Westminster,CENTRAL LONDON
750000,Flat / Apartment,1171,3, Wimbledon,CENTRAL LONDON
599950,New development,883,2,Colliers Wood,CENTRAL LONDON
650000,Flat / Apartment,976,2,Wimbledon,CENTRAL LONDON
1285000,House,1968,5,Wandsworth,CENTRAL LONDON
995000,Flat / Apartment,812,2, St. John's Wood,NORTH WEST LONDON
450000,Flat / Apartment,533,1,Wandsworth,CENTRAL LONDON
3950000,New development,1150,2,66 Chiltern Street,CENTRAL LONDON
1400000,House,1406,4,Fulham,CENTRAL LONDON
399950,Flat / Apartment,398,1,Oxford Road,WEST LONDON
900000,New development,901,2,Wandsworth,CENTRAL LONDON
835000,Flat / Apartment,1155,3,Clifton Road,CENTRAL LONDON
750000,Flat / Apartment,815,2,Wimbledon,CENTRAL LONDON
939999,House,1171,3, Wandsworth,CENTRAL LONDON
655000,Flat / Apartment,761,2,Riverside Quarter,CENTRAL LONDON
995000,Flat / Apartment,1041,2,St. John's Wood,NORTH WEST LONDON
675000,Flat / Apartment,757,2, Haggerston,NORTH LONDON
625000,Flat / Apartment,946,2,Battersea,CENTRAL LONDON
795000,Flat / Apartment,666,2,Maida Vale,CENTRAL LONDON
5950000,New development,1916,2,66 Chiltern Street,CENTRAL LONDON
495000,Flat / Apartment,758,3,Lofting Road,NORTH LONDON
699950,Flat / Apartment,935,3,Fulham Road,CENTRAL LONDON
400000,Flat / Apartment,764,2,Hanger Lane,WEST LONDON
1100000,House,1345,4,East Sheen,CENTRAL LONDON
4416000,New development,1847,3,Water Lane,CITY OF LONDON
699950,Flat / Apartment,831,2,Battersea,CENTRAL LONDON
1995000,Flat / Apartment,1575,3,Belgravia,CENTRAL LONDON
570000,Flat / Apartment,642,2,Islington,NORTH LONDON
450000,Flat / Apartment,595,2,Green Lanes,NORTH LONDON
695000,Flat / Apartment,1042,3, Hampstead,NORTH WEST LONDON
1375000,House,1791,4,East Sheen,CENTRAL LONDON
2150000,House,1929,5,Chiswick,WEST LONDON
1750000,Flat / Apartment,1660,3,Prince of Wales Drive,CENTRAL LONDON
4950000,Flat / Apartment,2610,5,Primrose Hill,NORTH WEST LONDON
1100000,House,1685,5,Wandsworth,CENTRAL LONDON
995000,Flat / Apartment,1172,3,Kentish Town,NORTH WEST LONDON
495000,Flat / Apartment,696,1,1 Brightlingsea Place,EAST LONDON
1795000,House,2605,4,Wimbledon,CENTRAL LONDON
1795000,House,2001,5,Wimbledon,SOUTH WEST LONDON
1350000,House,1519,3,Wandsworth,CENTRAL LONDON
700000,House,947,2,Putney,CENTRAL LONDON
1950000,Flat / Apartment,1765,2,Marylebone,CENTRAL LONDON
1200000,Flat / Apartment,852,2,Fitzrovia,CENTRAL LONDON
840000,Flat / Apartment,625,2, Marylebone,CENTRAL LONDON
1050000,Flat / Apartment,848,3,Marylebone,CENTRAL LONDON
1000000,Flat / Apartment,862,2,Kensington High Street,CENTRAL LONDON
875000,Flat / Apartment,1210,2,Hampstead,NORTH WEST LONDON
2250000,House,2654,5, Chiswick,WEST LONDON
475000,New development,474,1,1 Woodger Road,CENTRAL LONDON
550000,New development,540,1,28 Quebec Way,SOUTH EAST LONDON
675000,Flat / Apartment,986,3,Putney,CENTRAL LONDON
1100000,Penthouse,1809,2,17 Western Gateway,EAST LONDON
450000,Flat / Apartment,566,1,Greenwich,SOUTH EAST LONDON
1500000,House,2035,5,Barnes,CENTRAL LONDON
695000,New development,734,2, Putney,CENTRAL LONDON
1195000,Flat / Apartment,1300,3,Old Brompton Road,CENTRAL LONDON
450000,Flat / Apartment,731,2,8 Jude Street,EAST LONDON
475000,New development,639,1, West Ealing,CENTRAL LONDON
699950,House,918,3,Wimbledon,CENTRAL LONDON
699950,New development,942,2,Islington,NORTH LONDON
750000,House,914,3,Wandsworth,CENTRAL LONDON
675000,House,586,2,Wimbledon,CENTRAL LONDON
765000,Flat / Apartment,818,2,Tollgate Gardens,NORTH WEST LONDON
2500000,New development,1615,3, Hampstead,NORTH WEST LONDON
3395000,House,3583,6,Putney,CENTRAL LONDON
1200000,Flat / Apartment,1077,2, Victoria,CENTRAL LONDON
595000,Flat / Apartment,947,3,Southfields,CENTRAL LONDON
375000,Flat / Apartment,402,1,Sunnyside,CENTRAL LONDON
1800000,House,2626,5,Southfields,CENTRAL LONDON
2750000,House,4180,5,Wimbledon,SOUTH WEST LONDON
575000,Flat / Apartment,680,2,Wandsworth,CENTRAL LONDON
1695000,Flat / Apartment,1636,4,Marylebone,NORTH WEST LONDON
600000,Flat / Apartment,514,1,Elm Tree Road,NORTH WEST LONDON
699950,Flat / Apartment,816,2,Putney,CENTRAL LONDON
1225000,House,1450,3,Putney,CENTRAL LONDON
950000,New development,849,3,King's Cross,NORTH WEST LONDON
799999,Flat / Apartment,483,1,Primrose Hill,NORTH WEST LONDON
1500000,Flat / Apartment,1186,3, Marylebone,CENTRAL LONDON
750000,Flat / Apartment,627,1,30 Gatliff Road,CENTRAL LONDON
599950,Flat / Apartment,432,1,Islington,NORTH LONDON
2250000,House,1642,4,Barnsbury,NORTH LONDON
4395000,House,3292,5,Hampstead,NORTH WEST LONDON
439950,Flat / Apartment,466,1,Makepeace Avenue,NORTH LONDON
1795000,House,1669,4,Hornsey Lane,NORTH LONDON
815000,Flat / Apartment,969,3,Fulham,CENTRAL LONDON
480000,Flat / Apartment,732,2,32 Duckett Street,EAST LONDON
399995,Flat / Apartment,553,1,Greenwich,SOUTH EAST LONDON
1350000,House,1628,4,Chiswick,WEST LONDON
760000,House,919,2,Chiswick,WEST LONDON
1600000,House,1983,4, Chiswick,WEST LONDON
500000,Flat / Apartment,373,1,Chelsea,CENTRAL LONDON
2350000,House,2200,5,Barnes,CENTRAL LONDON
1325000,House,1476,3,Barnes,CENTRAL LONDON
850000,Flat / Apartment,906,2,49 Atalanta Street,CENTRAL LONDON
1500000,Duplex,2024,4,Brackenbury Village,WEST LONDON
1090000,New development,923,2,101 Wood Lane,CENTRAL LONDON
1425000,Flat / Apartment,1067,2,6 Wood Crescent,CENTRAL LONDON
1100000,Flat / Apartment,942,2,Albert Bridge Road,CENTRAL LONDON
1000000,House,1523,4,Battersea,CENTRAL LONDON
2500000,Flat / Apartment,1717,2, Battersea,CENTRAL LONDON
499999,Flat / Apartment,360,1,Little Venice,CENTRAL LONDON
800000,Flat / Apartment,558,2,Fitzrovia,CENTRAL LONDON
1140000,New development,580,1, Fitzrovia,CENTRAL LONDON
2150000,Flat / Apartment,1969,3, Marylebone,CENTRAL LONDON
1895000,Penthouse,1447,3,35 Pembroke Road,CENTRAL LONDON
1525000,House,1750,4,Hackney,EAST LONDON
1500000,Flat / Apartment,1311,3, Longfield Avenue,WEST LONDON
2950000,House,4125,6,Ealing,WEST LONDON
2950000,House,3165,5,Ealing,CENTRAL LONDON
850000,House,1326,3,East Sheen,CENTRAL LONDON
999500,Flat / Apartment,796,2,22 Wapping High Street,EAST LONDON
550000,Flat / Apartment,701,2,Balham,CENTRAL LONDON
699995,Flat / Apartment,791,2, Canary Wharf,EAST LONDON
1650000,House,2042,5, Fulham,CENTRAL LONDON
625000,Flat / Apartment,776,1,3 Forfar Road,CENTRAL LONDON
750000,Flat / Apartment,789,2,Islington,CITY OF LONDON
539000,Flat / Apartment,610,2,Whiston Road,EAST LONDON
699950,Flat / Apartment,602,2,North Kensington,CENTRAL LONDON
1100000,Flat / Apartment,1058,2,Lafone Street,SOUTH EAST LONDON
725000,Flat / Apartment,800,2,59 Lurline Gardens,CENTRAL LONDON
1700000,Flat / Apartment,1303,3,Belgrave Gardens,NORTH WEST LONDON
3350000,House,3564,4,Islington,NORTH LONDON
3650000,House,3070,5,Belsize Park,NORTH WEST LONDON
2850000,Flat / Apartment,1091,2,Mayfair,CENTRAL LONDON
830000,Flat / Apartment,551,1,70 Buckingham Gate,CENTRAL LONDON
895000,Flat / Apartment,836,2,Pimlico,CENTRAL LONDON
8000000,House,6713,8,Wimbledon,CENTRAL LONDON
825000,House,1443,3,Whitehead Close,CENTRAL LONDON
625000,Flat / Apartment,925,3,Banbury Road,EAST LONDON
3950000,Flat / Apartment,2573,3,34 De Vere Gardens,CENTRAL LONDON
675000,Flat / Apartment,722,2,Canonbury,NORTH LONDON
925000,Flat / Apartment,969,2,Star Place,EAST LONDON
999950,Flat / Apartment,927,2,Albert Bridge Road,CENTRAL LONDON
715000,Flat / Apartment,969,2, Canary Wharf,EAST LONDON
1650000,House,1869,4,Barnes,CENTRAL LONDON
2650000,House,2314,5,Islington,NORTH LONDON
850000,Penthouse,1249,3, Shoreditch,EAST LONDON
475000,Flat / Apartment,477,1,Hoxton,NORTH LONDON
1250000,House,1658,4,Wandsworth,CENTRAL LONDON
2500000,House,2960,5,Chiswick,WEST LONDON
2950000,Penthouse,2128,3,20 Nine Elms Lane,SOUTH WEST LONDON
1300000,Penthouse,1476,3,Downs Road,EAST LONDON
1025000,Flat / Apartment,947,3,Albert Bridge Road,CENTRAL LONDON
500000,Flat / Apartment,572,1, Highbury,NORTH LONDON
625000,Flat / Apartment,842,1,Shoreditch,EAST LONDON
1350000,House,1873,5,Wandsworth,CENTRAL LONDON
2100000,Flat / Apartment,1556,4,Morpeth Terrace,CENTRAL LONDON
39750000,New development,5623,5,Mayfair,CENTRAL LONDON
14250000,New development,2415,3,Mayfair,CENTRAL LONDON
730000,Flat / Apartment,693,2,Westminster,CENTRAL LONDON
735000,Flat / Apartment,983,3,Wandsworth,CENTRAL LONDON
495000,Flat / Apartment,499,1,Old Street,NORTH LONDON
875000,Flat / Apartment,898,1, Shoreditch,CITY OF LONDON
700000,Flat / Apartment,870,2,Maida Vale,CENTRAL LONDON
8250000,New development,1455,2,Mayfair,CENTRAL LONDON
800000,New development,920,3,Hackney,NORTH LONDON
900000,Flat / Apartment,802,2, Clerkenwell,CITY OF LONDON
800000,Flat / Apartment,532,1,Mayfair,CENTRAL LONDON
2550000,House,2679,5,Chiswick,WEST LONDON
675000,Flat / Apartment,676,1,Maida Vale,CENTRAL LONDON
3950000,Flat / Apartment,2780,3,8 High Timber Street,CITY OF LONDON
2250000,House,2736,5,Chiswick,WEST LONDON
5500000,House,4292,6,Wandsworth,CENTRAL LONDON
995000,Flat / Apartment,747,2,Westminster,CENTRAL LONDON
1550000,Flat / Apartment,1315,3,21 Highbury Crescent,NORTH LONDON
680000,Flat / Apartment,581,2,Pimlico,CENTRAL LONDON
1395000,House,1428,5,Holloway,NORTH LONDON
575000,Flat / Apartment,745,2,Enid Street,SOUTH EAST LONDON
2675000,House,3595,5,Wimbledon,SOUTH WEST LONDON
2200000,Flat / Apartment,2288,3,Old Street,NORTH LONDON
740000,Penthouse,579,1,101 Wood Lane,CENTRAL LONDON
1800000,House,2996,5,Blackheath,SOUTH EAST LONDON
1430000,New development,905,2, Earls Court,CENTRAL LONDON
1990000,Flat / Apartment,1364,3,St. Johns Wood Park,NORTH WEST LONDON
525000,Flat / Apartment,779,4,Charlotte Terrace,NORTH LONDON
3995000,House,4642,6,Pimlico,CENTRAL LONDON
1225000,House,1495,4,Southfields,CENTRAL LONDON
1175000,House,2259,5,Wandsworth,CENTRAL LONDON
500000,Flat / Apartment,551,1,Shoreditch,CITY OF LONDON
1750000,Flat / Apartment,1677,2,Primrose Hill,NORTH WEST LONDON
2100000,Flat / Apartment,1550,3,Prince of Wales Drive,CENTRAL LONDON
1685000,Flat / Apartment,1318,2,Prince of Wales Drive,CENTRAL LONDON
550000,Flat / Apartment,759,1, Battersea,CENTRAL LONDON
1150000,New development,1206,3, Wandsworth,CENTRAL LONDON
1695000,Flat / Apartment,1168,2,Avenue Road,NORTH WEST LONDON
500000,Flat / Apartment,508,1,Shoreditch,NORTH LONDON
970000,Flat / Apartment,1350,2,350 The Highway,EAST LONDON
475000,Flat / Apartment,663,2,Approach Road,EAST LONDON
1680000,New development,1100,2, Earls Court,CENTRAL LONDON
1250000,Flat / Apartment,802,1, Covent Garden,CENTRAL LONDON
700000,Flat / Apartment,1387,4, Canary Wharf,EAST LONDON
799999,Flat / Apartment,1283,2,Wandsworth,CENTRAL LONDON
825000,Flat / Apartment,1175,3,Singapore Road,CENTRAL LONDON
1050000,Flat / Apartment,953,2,101 Wood Lane,CENTRAL LONDON
725000,Flat / Apartment,617,2, St Johns Wood,NORTH WEST LONDON
525000,Flat / Apartment,472,1,348 Queenstown Road,CENTRAL LONDON
1600000,Flat / Apartment,1019,3,30 Gatliff Road,CENTRAL LONDON
1550000,House,2326,5,Wandsworth,CENTRAL LONDON
750000,Flat / Apartment,1176,3,Wandsworth,CENTRAL LONDON
950000,House,987,2,Shoreditch,EAST LONDON
710000,Flat / Apartment,730,2,Putney,CENTRAL LONDON
12950000,New development,2840,2, Marylebone,CENTRAL LONDON
749950,Flat / Apartment,1053,3,Highbury,NORTH LONDON
399995,Flat / Apartment,569,1, Greenwich,SOUTH EAST LONDON
525000,Flat / Apartment,814,1,45 Narrow Street,EAST LONDON
2500000,New development,2967,5,Chiswick,WEST LONDON
950000,Flat / Apartment,698,2,Curlew Street,SOUTH EAST LONDON
1225000,House,1510,4,Fulham,CENTRAL LONDON
2170000,New development,1081,3, Earls Court,CENTRAL LONDON
630000,Flat / Apartment,709,2, Canary Wharf,EAST LONDON
1600000,House,1565,3,Islington,NORTH LONDON
475000,Flat / Apartment,626,2,South Hackney,EAST LONDON
550000,Flat / Apartment,358,1,Fitzrovia,CENTRAL LONDON
4350000,House,4862,6,Barnes,CENTRAL LONDON
1345000,House,1909,4,Putney,CENTRAL LONDON
2250000,House,2978,5,Putney,CENTRAL LONDON
500000,Flat / Apartment,752,1, Battersea,CENTRAL LONDON
1600000,Flat / Apartment,1192,2,Lambeth,SOUTH EAST LONDON
515000,Flat / Apartment,578,1,Wandsworth,CENTRAL LONDON
1485000,House,1541,4,Bow,EAST LONDON
3650000,House,2034,4,Regent's Park,NORTH WEST LONDON
699950,Flat / Apartment,976,3,Canonbury,NORTH LONDON
600000,Flat / Apartment,854,3,Eaton Rise,WEST LONDON
395000,Penthouse,594,1, Greenwich,SOUTH EAST LONDON
795000,Flat / Apartment,862,2,24 Marsh Wall,EAST LONDON
1350000,Flat / Apartment,1768,3,Bishops King Road,CENTRAL LONDON
3600000,Flat / Apartment,2147,3,24 New Globe Walk,SOUTH EAST LONDON
1599950,Flat / Apartment,1111,3,Fernshaw Road,CENTRAL LONDON
1850000,Flat / Apartment,1176,2,1 St. George Wharf,SOUTH WEST LONDON
875000,House,1211,3,Putney,CENTRAL LONDON
1595000,House,1643,5,Chiswick,WEST LONDON
675000,Flat / Apartment,638,1,Fulham,CENTRAL LONDON
900000,Flat / Apartment,822,2,Islington,NORTH LONDON
6450000,House,5288,6,Belsize Park,NORTH WEST LONDON
1600000,House,1195,2,Islington,NORTH LONDON
3750000,Flat / Apartment,1358,2,Mayfair,CENTRAL LONDON
465000,Flat / Apartment,730,2,Homerton High Street,EAST LONDON
3250000,House,3179,6,Barnes,CENTRAL LONDON
1500000,Flat / Apartment,1200,2,84 St. Katharines Way,EAST LONDON
450000,Flat / Apartment,717,2,Canary Wharf,EAST LONDON
2375000,Flat / Apartment,2123,3,Emery Hill Street,CENTRAL LONDON
1780000,House,2264,5,Ealing,CENTRAL LONDON
775000,Flat / Apartment,729,2,De Beauvoir,NORTH LONDON
1450000,Flat / Apartment,1700,4,Earsby Street,CENTRAL LONDON
425000,Flat / Apartment,563,1,Bow,EAST LONDON
2000000,House,2009,4,Barnes,CENTRAL LONDON
800000,House,1260,4,Canary Wharf,EAST LONDON
900000,House,1275,3,Homerton,EAST LONDON
779000,Flat / Apartment,832,2,Putney,CENTRAL LONDON
945000,House,1146,2,Putney,CENTRAL LONDON
1850000,House,1512,3,Islington,NORTH LONDON
795000,New development,541,1,24 Bartholomew Close,CITY OF LONDON
995000,Penthouse,1485,3,Greenwich,SOUTH EAST LONDON
875000,Flat / Apartment,922,3,John Islip Street,CENTRAL LONDON
565000,Flat / Apartment,653,1, Canary Wharf,EAST LONDON
2000000,New development,1342,3,Shoreditch,CITY OF LONDON
1000000,New development,772,2,Shoreditch,CITY OF LONDON
1250000,House,1877,4,Canary Wharf,EAST LONDON
895000,Flat / Apartment,601,1,Fitzrovia,CENTRAL LONDON
900000,Flat / Apartment,1273,2,Shoreditch,CITY OF LONDON
850000,Flat / Apartment,1382,3,Dartmouth Park,NORTH WEST LONDON
725000,Flat / Apartment,872,2,Battersea,CENTRAL LONDON
345000,Flat / Apartment,433,1,Wandsworth,CENTRAL LONDON
1700000,Penthouse,1378,3,Maida Vale,CENTRAL LONDON
1350000,Flat / Apartment,1428,3,4-10 Lexham Gardens,CENTRAL LONDON
999950,Flat / Apartment,726,2,Highbury,NORTH LONDON
3300000,House,2640,5,Islington,NORTH LONDON
630000,Penthouse,1043,2,72 Lindfield Street,EAST LONDON
720000,Flat / Apartment,987,2,Greenwich,SOUTH EAST LONDON
2350000,House,2666,4,Grove Park,WEST LONDON
1800000,House,1909,4,Battersea,CENTRAL LONDON
367500,Flat / Apartment,472,1, Bow,EAST LONDON
685000,Flat / Apartment,560,1,4 Canter Way,EAST LONDON
1100000,House,1582,4,Hampstead,NORTH WEST LONDON
865000,New development,606,1, Earls Court,CENTRAL LONDON
725000,Flat / Apartment,696,2,Haverstock Street,NORTH LONDON
1200000,House,1310,4,Chiswick,WEST LONDON
1700000,House,2126,4,Barnes,CENTRAL LONDON
525000,Flat / Apartment,596,2,375 Earlsfield Road,CENTRAL LONDON
825000,Flat / Apartment,722,2, 352 Queenstown Road,CENTRAL LONDON
1750000,Flat / Apartment,1481,2,93 Albert Embankment,SOUTH EAST LONDON
1100000,House,1632,3, Wandsworth,CENTRAL LONDON
1795000,Flat / Apartment,1149,2,St. John's Wood,NORTH WEST LONDON
775000,Flat / Apartment,996,2,Hackney,EAST LONDON
850000,Flat / Apartment,826,2,Clerkenwell,CITY OF LONDON
875000,Flat / Apartment,977,2,Chiswick,WEST LONDON
1000000,House,1354,3,Barnes,CENTRAL LONDON
1050000,Flat / Apartment,751,2,78 Buckingham Gate,CENTRAL LONDON
1295000,House,1647,4,Putney,CENTRAL LONDON
775000,Flat / Apartment,863,2,Putney,CENTRAL LONDON
495000,Flat / Apartment,821,2, Greenwich,SOUTH EAST LONDON
600000,Flat / Apartment,455,1,95 Elm Park Gardens,CENTRAL LONDON
1500000,House,2278,5,Barnes,CENTRAL LONDON
800000,Flat / Apartment,708,2, 372 Queenstown Road,CENTRAL LONDON
675000,Flat / Apartment,628,2,Islington,NORTH LONDON
875000,Flat / Apartment,1077,2,Highgate,NORTH LONDON
685000,New development,1000,3,Dalston Lane,EAST LONDON
4000000,House,2435,3,Marylebone,CENTRAL LONDON
1335000,House,1771,3,Putney,CENTRAL LONDON
2250000,New development,1265,3,150 Vaughan Way,EAST LONDON
1625000,Flat / Apartment,1612,3, Hampstead,NORTH WEST LONDON
1200000,House,1335,4,Nightingale Triangle,CENTRAL LONDON
5995000,New development,6313,6,Wimbledon,CENTRAL LONDON
495000,Flat / Apartment,767,2,Copperwood Place,SOUTH EAST LONDON
2750000,House,2479,4, Islington,NORTH LONDON
1675000,House,2110,4,Hackney,EAST LONDON
1595000,Flat / Apartment,1316,3, Westminster,CENTRAL LONDON
1395000,Flat / Apartment,1171,3,St. Johns Wood Park,NORTH WEST LONDON
3295000,Flat / Apartment,2435,4,9 Abbey Road,NORTH WEST LONDON
800000,Flat / Apartment,857,1,Spitalfields,EAST LONDON
3300000,House,1669,3,Belgravia,CENTRAL LONDON
550000,Flat / Apartment,585,1,Highbury,NORTH LONDON
3250000,House,2813,5,Highgate,NORTH LONDON
2990000,House,3175,6, Fulham,CENTRAL LONDON
475000,Flat / Apartment,566,1,Asher Way,EAST LONDON
750000,Flat / Apartment,885,2, Limehouse,EAST LONDON
950000,Flat / Apartment,1016,2,Barnes,CENTRAL LONDON
450000,Flat / Apartment,495,1,Wandsworth,CENTRAL LONDON
2250000,Flat / Apartment,1547,3,Primrose Hill,NORTH WEST LONDON
1250000,Flat / Apartment,943,2,2-4 Primrose Hill Road,NORTH WEST LONDON
850000,Flat / Apartment,861,2, Vauxhall,SOUTH WEST LONDON
1000000,Flat / Apartment,1514,2, Canary Wharf,EAST LONDON
825000,Flat / Apartment,687,2,Kentish Town,NORTH WEST LONDON
1050000,Flat / Apartment,1091,2, Regatta Lane,WEST LONDON
2375000,House,3116,6,Highgate,NORTH LONDON
2950000,House,3235,6,Putney,CENTRAL LONDON
1595000,Flat / Apartment,1219,2, Battersea,CENTRAL LONDON
3750000,House,2243,5,St John's Wood,NORTH WEST LONDON
550000,Flat / Apartment,599,1, Queens Park,NORTH WEST LONDON
590000,Flat / Apartment,1048,2, Royal Docks,EAST LONDON
1298000,New development,591,1,Covent Garden,CENTRAL LONDON
7100000,House,2908,5,Belgravia,CENTRAL LONDON
450000,Flat / Apartment,572,1,Wandsworth,CENTRAL LONDON
1795000,House,1842,3, Islington,NORTH LONDON
660000,Flat / Apartment,929,2, Canary Wharf,EAST LONDON
7950000,Flat / Apartment,4168,4,Primrose Hill,NORTH WEST LONDON
995000,Flat / Apartment,875,2, Shoreditch,CITY OF LONDON
1350000,House,1520,3,Barnes,CENTRAL LONDON
1195000,Penthouse,1260,3, Putney,CENTRAL LONDON
1575000,Flat / Apartment,979,2,Marylebone,CENTRAL LONDON
550000,Flat / Apartment,474,1,Kentish Town,NORTH WEST LONDON
4250000,House,2402,3,Hampstead,NORTH WEST LONDON
445000,Flat / Apartment,667,2,Devonport Street,EAST LONDON
625000,Flat / Apartment,768,2,Nightingale Lane,CENTRAL LONDON
995000,Flat / Apartment,800,2,Clerkenwell,CITY OF LONDON
465000,Flat / Apartment,594,1,Chiswick,WEST LONDON
1300000,Flat / Apartment,1299,2, Barnes,CENTRAL LONDON
1075000,Flat / Apartment,1138,2, Hampstead,NORTH WEST LONDON
1750000,New development,2431,4,Hilgrove Road,NORTH WEST LONDON
900000,Flat / Apartment,1054,2, Limehouse,EAST LONDON
4795000,Flat / Apartment,3943,5, Vauxhall,SOUTH EAST LONDON
600000,Flat / Apartment,568,1,Augustas Lane,NORTH LONDON
1650000,House,2335,3,Wandsworth,CENTRAL LONDON
435000,Flat / Apartment,510,1,Hackney,EAST LONDON
700000,Penthouse,623,2,176 Gray's Inn Road,CENTRAL LONDON
730000,New development,801,2,30-34 Woodfield Place,CENTRAL LONDON
7250000,New development,1991,3,Marylebone,CENTRAL LONDON
2850000,Flat / Apartment,1275,3, Mayfair,CENTRAL LONDON
5250000,House,3092,5,Marylebone,CENTRAL LONDON
600000,Flat / Apartment,869,2, Greenwich,SOUTH EAST LONDON
899950,Flat / Apartment,1195,2,Putney,CENTRAL LONDON
1175000,Flat / Apartment,776,2, Notting Hill,CENTRAL LONDON
725000,Duplex,940,3,Hertford Road,NORTH LONDON
2250000,House,2293,4,South Hampstead,NORTH WEST LONDON
400000,Flat / Apartment,708,2,Chiswick,WEST LONDON
2150000,House,2598,5, Wandsworth,CENTRAL LONDON
895000,House,1133,3,Barnes,CENTRAL LONDON
2500000,House,1888,3,Marylebone,CENTRAL LONDON
550000,Flat / Apartment,481,1,99 Leman Street,EAST LONDON
879950,New development,1048,2, Putney,CENTRAL LONDON
2300000,House,2526,5,Chiswick,WEST LONDON
650000,Flat / Apartment,664,2, Putney,CENTRAL LONDON
600000,New development,813,2,Palmerston Road,WEST LONDON
775000,Flat / Apartment,941,1,315 Kingsland Road,EAST LONDON
7250000,Flat / Apartment,2248,4,Regent's Park,NORTH WEST LONDON
675000,Flat / Apartment,1097,2,Smugglers Way,CENTRAL LONDON
350000,Flat / Apartment,507,1,70 Parkside,CENTRAL LONDON
1250000,Flat / Apartment,763,1,Bayswater,CENTRAL LONDON
800000,Flat / Apartment,1022,2,Canonbury,NORTH LONDON
735000,Flat / Apartment,747,2,Hackney,EAST LONDON
1450000,Flat / Apartment,1849,2,4 Fairmont Avenue,EAST LONDON
1300000,New development,1203,3,Canary Wharf,EAST LONDON
360000,Flat / Apartment,411,1,Bethnal Green,EAST LONDON
950000,Flat / Apartment,970,2, Fulham,CENTRAL LONDON
2950000,Flat / Apartment,840,2,Mayfair,CENTRAL LONDON
615000,Flat / Apartment,694,2,Manfred Road,CENTRAL LONDON
580000,Flat / Apartment,817,2,Wandsworth,CENTRAL LONDON
325000,Flat / Apartment,500,1,210 Poplar High Street,EAST LONDON
995000,Flat / Apartment,1039,2,College Crescent,NORTH WEST LONDON
995000,House,1275,2,Battersea,CENTRAL LONDON
1150000,House,1758,4,Wandsworth,CENTRAL LONDON
1100000,House,1432,4,Wandsworth,CENTRAL LONDON
475000,Flat / Apartment,471,1,Shannon Place,NORTH WEST LONDON
1100000,Penthouse,1052,2, Shoreditch,EAST LONDON
499999,Flat / Apartment,464,1,Chalk Farm,NORTH WEST LONDON
398000,Flat / Apartment,292,1,Primrose Hill,NORTH WEST LONDON
2100000,House,1677,3,Islington,NORTH LONDON
900000,Flat / Apartment,1013,2,10 Llanvanor Road,NORTH WEST LONDON
4500000,Flat / Apartment,2774,4,Belsize Park,NORTH WEST LONDON
800000,Flat / Apartment,814,2,Clerkenwell,CITY OF LONDON
2350000,House,2299,5,Battersea,CENTRAL LONDON
1860000,Flat / Apartment,1174,2,Victoria,CENTRAL LONDON
850000,Flat / Apartment,601,2, Westminster,CENTRAL LONDON
650000,Flat / Apartment,929,2, Canary Wharf,EAST LONDON
625000,Flat / Apartment,693,2,Fulham,CENTRAL LONDON
885000,New development,1175,3,Kenninghall Road,EAST LONDON
595000,New development,647,2,Putney,CENTRAL LONDON
595000,New development,657,2,Putney,CENTRAL LONDON
539950,New development,592,2,Putney,CENTRAL LONDON
750000,Flat / Apartment,1420,2,Clapham Common North Side,SOUTH WEST LONDON
1750000,Flat / Apartment,1203,3, Islington,NORTH LONDON
575000,Flat / Apartment,701,2,5 Hutchings Street,EAST LONDON
650000,Flat / Apartment,864,3,Eastway,EAST LONDON
2750000,Flat / Apartment,1471,3,Primrose Hill,NORTH WEST LONDON
2275000,Flat / Apartment,1540,3,Primrose Hill,NORTH WEST LONDON
1295000,Flat / Apartment,887,2,9 Gatliff Road,CENTRAL LONDON
1575000,House,1799,4,Hackney,EAST LONDON
1900000,House,2199,4,Chiswick,WEST LONDON
2895000,House,3334,6,Barnes,CENTRAL LONDON
